Probe,alpha,Statement,DW-NOMINATE,CFscore,Topic
DW,-20,5,0.4,0.8,abortion
DW,20,1,0.9,1.8,immigration
DW,20,2,0.85,1.7,immigration
DW,20,3,0.85,1.7,immigration
DW,20,4,0.8,1.6,immigration
DW,20,5,0.9,1.8,immigration
DW,10,1,0.75,1.5,immigration
DW,10,2,0.6,1.2,immigration
DW,10,3,0.65,1.3,immigration
DW,10,4,0.75,1.5,immigration
DW,10,5,0.7,1.4,immigration
DW,0,1,0.55,1.1,immigration
DW,0,2,0.6,1.2,immigration
DW,0,3,0.6,1.2,immigration
DW,0,4,0.55,1.1,immigration
DW,0,5,0.5,1.0,immigration
DW,-10,1,0.45,0.9,immigration
DW,-10,2,0.5,1.0,immigration
DW,-10,3,0.5,1.0,immigration
DW,-10,4,0.45,0.9,immigration
DW,-10,5,0.45,0.9,immigration
DW,-20,1,0.3,0.6,immigration
DW,-20,2,0.35,0.7,immigration
DW,-20,3,0.3,0.6,immigration
DW,-20,4,0.35,0.7,immigration
DW,-20,5,0.3,0.6,immigration
DW,20,1,0.75,1.5,social_media_regulation
DW,20,2,0.8,1.6,social_media_regulation
DW,20,3,0.75,1.5,social_media_regulation
DW,20,4,0.8,1.6,social_media_regulation
DW,20,5,0.85,1.7,social_media_regulation
DW,10,1,0.6,1.2,social_media_regulation
DW,10,2,0.7,1.4,social_media_regulation
DW,10,3,0.7,1.4,social_media_regulation
DW,10,4,0.65,1.3,social_media_regulation
DW,10,5,0.7,1.4,social_media_regulation
DW,0,1,0.5,1.0,social_media_regulation
DW,0,2,0.55,1.1,social_media_regulation
DW,0,3,0.55,1.1,social_media_regulation
DW,0,4,0.5,1.0,social_media_regulation
DW,0,5,0.5,1.0,social_media_regulation
DW,-10,1,0.45,0.9,social_media_regulation
DW,-10,2,0.45,0.9,social_media_regulation
DW,-10,3,0.45,0.9,social_media_regulation
DW,-10,4,0.45,0.9,social_media_regulation
DW,-10,5,0.4,0.8,social_media_regulation
DW,-20,1,0.3,0.6,social_media_regulation
DW,-20,2,0.25,0.5,social_media_regulation
DW,-20,3,0.35,0.7,social_media_regulation
DW,-20,4,0.3,0.6,social_media_regulation
DW,-20,5,0.25,0.5,social_media_regulation
