bioname,state_abbrev,party,wins,losses,ties,bt_score
"YOUNG, Todd",IN,R,204.0,99.0,16.0,0.288294
"WICKER, Roger F.",MS,R,198.0,105.0,22.0,0.263063
"ROBERTS, Charles Patrick (Pat)",KS,R,198.0,105.0,22.0,0.263063
"GRAHAM, Lindsey O.",SC,R,197.5,105.5,21.0,0.260981
"CASSIDY, Bill",LA,R,196.0,107.0,22.0,0.254748
"GARDNER, Cory",CO,R,192.0,111.0,22.0,0.238149
"GRASSLEY, Charles Ernest",IA,R,190.5,112.5,23.0,0.231908
"BOOZMAN, John",AR,R,187.5,115.5,25.0,0.219344
"BLUNT, Roy",MO,R,184.5,118.5,25.0,0.206609
"TILLIS, Thomas Roland (Thom)",NC,R,184.0,119.0,24.0,0.204464
"MORAN, Jerry",KS,R,184.0,119.0,28.0,0.204464
"BURR, Richard M.",NC,R,182.0,121.0,20.0,0.195808
"HOEVEN, John",ND,R,177.5,125.5,17.0,0.175785
"SHELBY, Richard C.",AL,R,173.0,130.0,12.0,0.154819
"ROUNDS, Marion Michael (Mike)",SD,R,166.5,136.5,5.0,0.122576
"ISAKSON, Johnny",GA,R,164.0,139.0,4.0,0.109558
"PORTMAN, Robert Jones (Rob)",OH,R,159.0,144.0,0.0,0.082657
"ALEXANDER, Lamar",TN,R,156.0,147.0,0.0,0.066093
"CAPITO, Shelley Moore",WV,R,153.0,150.0,0.0,0.049322
"ROMNEY, Willard Mitt (Mitt)",UT,R,150.0,153.0,0.0,0.032424
"MURKOWSKI, Lisa",AK,R,145.5,157.5,1.0,0.006974
"MANCHIN, Joe, III",WV,D,143.5,159.5,1.0,-0.004346
"COLLINS, Susan Margaret",ME,R,143.0,160.0,2.0,-0.007175
"SINEMA, Kyrsten",AZ,D,138.0,165.0,0.0,-0.035422
"CARPER, Thomas Richard",DE,D,134.0,169.0,0.0,-0.057934
"HASSAN, Margaret Wood",NH,D,128.5,174.5,3.0,-0.088738
"JONES, Gordon Douglas (Doug)",AL,D,128.5,174.5,3.0,-0.088738
"KING, Angus Stanley, Jr.",ME,I,127.5,175.5,5.0,-0.094319
"WARNER, Mark",VA,D,125.0,178.0,4.0,-0.108242
"COONS, Christopher A.",DE,D,121.0,182.0,4.0,-0.13041
"TESTER, Jon",MT,D,115.5,187.5,5.0,-0.160538
"FEINSTEIN, Dianne",CA,D,112.5,190.5,7.0,-0.176705
"SHAHEEN, Jeanne",NH,D,109.0,194.0,4.0,-0.195252
"CARDIN, Benjamin Louis",MD,D,103.0,200.0,12.0,-0.226193
"BENNET, Michael F.",CO,D,101.5,201.5,9.0,-0.233771
"CASEY, Robert (Bob), Jr.",PA,D,101.0,202.0,8.0,-0.236284
"MENENDEZ, Robert",NJ,D,96.5,206.5,13.0,-0.258683
"KELLY, Mark Edward",AZ,D,94.0,209.0,14.0,-0.271007
"KAINE, Timothy Michael (Tim)",VA,D,92.5,210.5,13.0,-0.278382
"KLOBUCHAR, Amy",MN,D,92.5,210.5,15.0,-0.278382
"PETERS, Gary C.",MI,D,87.5,215.5,15.0,-0.302999
"WYDEN, Ronald Lee",OR,D,86.5,216.5,13.0,-0.307948
"REED, John F. (Jack)",RI,D,82.5,220.5,15.0,-0.327916
"ROSEN, Jacklyn Sheryl",NV,D,78.0,225.0,10.0,-0.350835
"SCHUMER, Charles Ellis (Chuck)",NY,D,75.5,227.5,13.0,-0.363831
"CANTWELL, Maria E.",WA,D,74.0,229.0,12.0,-0.371727
"STABENOW, Deborah Ann",MI,D,73.0,230.0,12.0,-0.377035
"DURBIN, Richard Joseph",IL,D,65.5,237.5,9.0,-0.417885
"MURPHY, Christopher",CT,D,63.0,240.0,12.0,-0.431859
"LEAHY, Patrick Joseph",VT,D,59.0,244.0,10.0,-0.454484
"WHITEHOUSE, Sheldon",RI,D,54.0,249.0,12.0,-0.483118
"SCHATZ, Brian Emanuel",HI,D,52.5,250.5,11.0,-0.491784
"HEINRICH, Martin",NM,D,51.5,251.5,13.0,-0.497584
"CORTEZ MASTO, Catherine Marie",NV,D,48.0,255.0,18.0,-0.518074
"DUCKWORTH, Tammy",IL,D,45.0,258.0,14.0,-0.535967
"MURRAY, Patty",WA,D,44.0,259.0,12.0,-0.542024
"VAN HOLLEN, Christopher",MD,D,39.0,264.0,14.0,-0.573294
"SMITH, Tina",MN,D,37.0,266.0,12.0,-0.586401
"BROWN, Sherrod",OH,D,36.5,266.5,13.0,-0.589743
"BLUMENTHAL, Richard",CT,D,35.5,267.5,11.0,-0.596513
"UDALL, Thomas (Tom)",NM,D,25.5,277.5,3.0,-0.671339
"GILLIBRAND, Kirsten",NY,D,23.5,279.5,5.0,-0.687797
"BOOKER, Cory Anthony",NJ,D,17.5,285.5,9.0,-0.739807
"MARKEY, Edward John",MA,D,17.0,286.0,8.0,-0.744363
"MERKLEY, Jeff",OR,D,16.5,286.5,3.0,-0.748965
"HIRONO, Mazie",HI,D,16.5,286.5,7.0,-0.748965
"BALDWIN, Tammy",WI,D,9.5,293.5,1.0,-0.820996
"SANDERS, Bernard",VT,I,5.5,297.5,1.0,-0.873545
"HARRIS, Kamala Devi",CA,D,3.5,299.5,1.0,-0.906227
"WARREN, Elizabeth",MA,D,0.0,303.0,0.0,-1.0
