congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
116,Senate,41300,2,0,ME,328,,,"KING, Angus Stanley, Jr.",K000383,1944,,-0.167,-0.187,-83.53393,0.88245,668,33,,-0.167,-0.201
116,Senate,49703,2,0,ME,200,,,"COLLINS, Susan Margaret",C001035,1952,,0.124,-0.505,-57.26766,0.91784,668,16,,0.139,-0.404
116,Senate,15408,52,0,MD,100,,,"CARDIN, Benjamin Louis",C000141,1943,,-0.32,-0.224,-108.96699,0.84674,655,38,,-0.277,-0.113
116,Senate,20330,52,0,MD,100,,,"VAN HOLLEN, Christopher",V000128,1959,,-0.398,-0.227,-103.22909,0.85662,667,39,,-0.38,-0.333
116,Senate,14435,3,0,MA,100,,,"MARKEY, Edward John",M000133,1946,,-0.517,-0.471,-65.48092,0.89612,597,21,,-0.625,-0.759
116,Senate,41301,3,0,MA,100,,,"WARREN, Elizabeth",W000817,1949,,-0.745,-0.37,-14.17735,0.96665,418,3,,-0.792,-0.434
116,Senate,20923,23,0,MI,100,,,"PETERS, Gary C.",P000595,1958,,-0.25,-0.183,-105.18481,0.85411,667,44,,-0.296,-0.027
116,Senate,29732,23,0,MI,100,,,"STABENOW, Deborah Ann",S000770,1950,,-0.343,-0.019,-114.85185,0.83502,637,58,,-0.397,-0.108
116,Senate,40700,33,0,MN,100,,,"KLOBUCHAR, Amy",K000367,1960,,-0.278,-0.325,-152.84485,0.73016,486,81,,-0.476,-0.367
116,Senate,41706,33,0,MN,100,,,"SMITH, Tina",S001203,1958,,-0.409,-0.121,-82.87135,0.88234,662,35,,-0.413,-0.032
116,Senate,29534,46,0,MS,200,,,"WICKER, Roger F.",W000437,1951,,0.377,0.341,-27.94074,0.95898,667,8,,0.364,0.196
116,Senate,41707,46,0,MS,200,,,"HYDE-SMITH, Cindy",H001079,1959,,0.449,0.333,-25.17336,0.96235,656,9,,0.363,0.38
116,Senate,29735,34,0,MO,200,,,"BLUNT, Roy",B000575,1950,,0.398,0.18,-26.60674,0.96013,654,6,,0.341,0.156
116,Senate,41901,34,0,MO,200,,,"HAWLEY, Joshua David",H001089,1979,,0.83,-0.372,-108.39084,0.84939,664,37,,0.618,-0.383
116,Senate,21338,64,0,MT,200,,,"DAINES, Steve",D000618,1962,,0.59,-0.024,-65.75172,0.90477,657,26,,0.58,-0.214
116,Senate,40702,64,0,MT,100,,,"TESTER, Jon",T000464,1956,,-0.213,0.153,-88.218,0.87235,646,35,,-0.237,0.158
116,Senate,41302,35,0,NE,200,,,"FISCHER, Debra (Deb)",F000463,1951,,0.46,0.335,-25.11691,0.96169,643,8,,0.48,0.486
116,Senate,41503,35,0,NE,200,,,"SASSE, Benjamin Eric",S001197,1972,,0.669,-0.25,-41.30191,0.93788,644,15,,0.717,-0.012
116,Senate,21743,65,0,NV,100,,,"ROSEN, Jacklyn Sheryl",R000608,1957,,-0.286,0.317,-67.34949,0.90354,664,22,,-0.321,0.339
116,Senate,41700,65,0,NV,100,,,"CORTEZ MASTO, Catherine Marie",C001113,1964,,-0.347,0.35,-63.07482,0.90938,664,24,,-0.354,0.337
116,Senate,40906,4,0,NH,100,,,"SHAHEEN, Jeanne",S001181,1947,,-0.221,-0.139,-79.58268,0.88657,661,30,,-0.216,-0.036
116,Senate,41702,4,0,NH,100,,,"HASSAN, Margaret (Maggie)",H001076,1958,,-0.225,0.019,-76.14213,0.89227,668,28,,-0.214,0.006
116,Senate,29373,12,0,NJ,100,,,"MENENDEZ, Robert",M000639,1954,,-0.366,-0.126,-122.74105,0.83123,664,52,,-0.382,-0.125
116,Senate,41308,12,0,NJ,100,,,"BOOKER, Cory Anthony",B001288,1969,,-0.558,-0.25,-53.50173,0.87682,407,23,,-0.551,-0.382
116,Senate,20930,66,0,NM,100,,,"HEINRICH, Martin",H001046,1971,,-0.334,-0.001,-119.69825,0.83014,643,54,,-0.393,-0.015
116,Senate,29924,66,0,NM,100,,,"UDALL, Thomas (Tom)",U000039,1948,,-0.453,0.161,-82.54995,0.88176,656,36,,-0.435,0.04
116,Senate,14858,13,0,NY,100,,,"SCHUMER, Charles Ellis (Chuck)",S000148,1950,,-0.355,-0.411,-105.80053,0.85352,668,40,,-0.416,-0.387
116,Senate,20735,13,0,NY,100,,,"GILLIBRAND, Kirsten",G000555,1966,,-0.449,-0.308,-124.49687,0.80255,566,68,,-0.654,-0.349
116,Senate,29548,47,0,NC,200,,,"BURR, Richard M.",B001135,1955,,0.435,-0.07,-25.13575,0.95773,582,5,,0.342,0.189
116,Senate,41504,47,0,NC,200,,,"TILLIS, Thomas Roland (Thom)",T000476,1960,,0.386,-0.104,-46.36277,0.92938,633,14,,0.426,0.202
116,Senate,21350,36,0,ND,200,,,"CRAMER, Kevin",C001096,1961,,0.4,0.367,-23.67809,0.96428,651,8,,0.373,0.247
116,Senate,41107,36,0,ND,200,,,"HOEVEN, John",H001061,1957,,0.401,0.449,-27.25043,0.95937,657,15,,0.371,0.274
116,Senate,29386,24,0,OH,200,,,"PORTMAN, Robert Jones (Rob)",P000449,1955,,0.371,-0.208,-28.7474,0.95732,659,6,,0.314,0.104
116,Senate,29389,24,0,OH,100,,,"BROWN, Sherrod",B000944,1952,,-0.425,-0.097,-136.01978,0.81299,657,59,,-0.374,-0.106
116,Senate,15424,53,0,OK,200,,,"INHOFE, James Mountain",I000024,1934,2024,0.552,0.045,-46.16816,0.93133,649,27,,0.617,-0.005
116,Senate,21166,53,0,OK,200,,,"LANKFORD, James",L000575,1968,,0.59,0.148,-33.37671,0.95126,668,14,,0.687,0.296
116,Senate,14871,72,0,OR,100,,,"WYDEN, Ronald Lee",W000779,1949,,-0.334,-0.487,-121.88909,0.8309,658,65,,-0.376,-0.627
116,Senate,40908,72,0,OR,100,,,"MERKLEY, Jeff",M001176,1956,,-0.453,-0.719,-77.49903,0.88968,663,27,,-0.409,-0.724
116,Senate,29935,14,0,PA,200,,,"TOOMEY, Patrick Joseph",T000461,1961,,0.624,-0.378,-63.42411,0.90579,641,28,,0.707,-0.107
116,Senate,40703,14,0,PA,100,,,"CASEY, Robert (Bob), Jr.",C001070,1960,,-0.313,0.166,-100.38484,0.86047,668,50,,-0.339,0.197
116,Senate,29142,5,0,RI,100,,,"REED, John F. (Jack)",R000122,1949,,-0.36,-0.155,-114.50516,0.84204,666,60,,-0.313,-0.076
116,Senate,40704,5,0,RI,100,,,"WHITEHOUSE, Sheldon",W000802,1955,,-0.349,-0.112,-128.40126,0.8113,614,49,,-0.291,0.019
116,Senate,21173,48,0,SC,200,,,"SCOTT, Tim",S001184,1965,,0.629,0.023,-41.73449,0.9389,662,19,,0.557,0.093
116,Senate,29566,48,0,SC,200,,,"GRAHAM, Lindsey O.",G000359,1955,,0.367,-0.269,-30.80532,0.95286,638,11,,0.325,-0.006
116,Senate,29754,37,0,SD,200,,,"THUNE, John",T000250,1961,,0.432,0.226,-25.6431,0.96223,666,7,,0.394,0.28
116,Senate,41505,37,0,SD,200,,,"ROUNDS, Marion Michael (Mike)",R000605,1954,,0.351,0.086,-47.71251,0.92116,581,19,,0.437,0.388
116,Senate,20351,54,0,TN,200,,,"BLACKBURN, Marsha",B001243,1952,,0.632,0.141,-43.4168,0.93596,656,19,,0.695,0.164
116,Senate,40304,54,0,TN,200,,,"ALEXANDER, Lamar",A000360,1940,,0.324,-0.176,-28.71808,0.94821,540,9,,0.322,-0.086
116,Senate,40305,49,0,TX,200,,,"CORNYN, John",C001056,1952,,0.471,-0.062,-37.86185,0.94433,661,17,,0.44,0.093
116,Senate,41304,49,0,TX,200,,,"CRUZ, Rafael Edward (Ted)",C001098,1970,,0.781,-0.179,-51.09142,0.9221,630,25,,0.908,-0.418
116,Senate,41110,67,0,UT,200,,,"LEE, Mike",L000577,1971,,0.891,-0.454,-118.712,0.83493,658,71,,0.91,-0.414
116,Senate,41902,67,0,UT,200,,,"ROMNEY, Willard Mitt (Mitt)",R000615,1947,,0.286,0.294,-103.13902,0.85593,663,44,,0.39,0.705
116,Senate,14307,6,0,VT,100,,,"LEAHY, Patrick Joseph",L000174,1940,,-0.36,-0.121,-117.4496,0.83399,647,67,,-0.279,-0.04
116,Senate,29147,6,0,VT,328,,,"SANDERS, Bernard",S000033,1941,,-0.545,-0.428,-36.6019,0.88368,296,14,,-0.775,-0.467
116,Senate,40909,40,0,VA,100,,,"WARNER, Mark",W000805,1954,,-0.213,-0.037,-75.41331,0.89062,651,28,,-0.222,-0.019
116,Senate,41305,40,0,VA,100,,,"KAINE, Timothy Michael (Tim)",K000384,1958,,-0.237,-0.112,-86.65032,0.87591,654,33,,-0.255,0.005
116,Senate,39310,73,0,WA,100,,,"CANTWELL, Maria E.",C000127,1958,,-0.308,-0.402,-106.87209,0.8505,660,40,,-0.36,-0.36
116,Senate,49308,73,0,WA,100,,,"MURRAY, Patty",M001111,1950,,-0.356,-0.314,-85.45037,0.87316,630,33,,-0.4,-0.275
116,Senate,20146,56,0,WV,200,,,"CAPITO, Shelley Moore",C001047,1953,,0.284,0.144,-23.50214,0.96344,631,6,,0.326,0.177
116,Senate,40915,56,0,WV,100,,,"MANCHIN, Joe, III",M001183,1947,,-0.057,0.4,-70.45262,0.89802,655,19,,-0.052,0.388
116,Senate,29940,25,0,WI,100,,,"BALDWIN, Tammy",B001230,1962,,-0.486,-0.124,-124.92871,0.82896,666,59,,-0.396,-0.001
116,Senate,41111,25,0,WI,200,,,"JOHNSON, Ron",J000293,1955,,0.643,-0.144,-45.75683,0.93131,643,25,,0.61,0.017
116,Senate,40707,68,0,WY,200,,,"BARRASSO, John A.",B001261,1952,,0.54,0.193,-30.93947,0.95474,668,16,,0.602,0.323
116,Senate,49706,68,0,WY,200,,,"ENZI, Michael B.",E000285,1944,2021,0.545,0.199,-42.601,0.93551,639,16,,0.587,0.414
