election,cycle,fecyear,bonica.rid,bonica.cid,name,lname,ffname,fname,mname,title,suffix,party,state,seat,district,distcyc,ico.status,cand.gender,recipient.cfscore,recipient.cfscore.dyn,contributor.cfscore,dwdime,dwnom1,dwnom2,ps.dwnom1,ps.dwnom2,irt.cfscore,composite.score,num.givers,num.givers.total,total.receipts,total.disbursements,total.indiv.contribs,total.unitemized,total.pac.contribs,total.party.contribs,total.contribs.from.candidate,ind.exp.support,ind.exp.oppose,prim.vote.pct,pwinner,gen.vote.pct,gwinner,s.elec.stat,r.elec.stat,district.pres.vs,fec.cand.status,recipient.type,igcat,comtype,ICPSR,ICPSR2,Cand.ID,FEC.ID,NID,before.switch.ICPSR,after.switch.ICPSR,party.orig,nimsp.party,nimsp.candidate.ICO.code,nimsp.district,nimsp.office,nimsp.candidate.status
fd2020,2020,2020,comm69042432,,"kfr initiative, inc.",,,,,,,328,GA,federal:527,,,,,1.506,1.506,,,,,,,,,16,16,,,,,,,,,,,,,,,,,,comm,,,527o:8442195352022,527o:844219535,527o:844219535,527o:844219535,,,,,,,,,
fd2020,2020,2020,comm69042468,,major for congress,,,,,,,328,WA,federal:527,,,,,1.722,1.722,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,comm,,,527o:8510215382000,527o:851021538,527o:851021538,527o:851021538,,,,,,,,,
fd2020,2020,2020,comm69042374,,committee to elect ajax for judge,,,,,,,328,WA,federal:527,,,,,-0.403,-0.403,,,,,,,,,21,21,,,,,,,,,,,,,,,,,,comm,,,527o:8420250602008,527o:842025060,527o:842025060,527o:842025060,,,,,,,,,
fd2020,2020,2020,comm69042449,,elect tom smyly,,,,,,,328,MI,federal:527,,,,,0.958,0.958,,,,,,,,,48,48,,,,,,,,,,,,,,,,,,comm,,,527o:8448152822006,527o:844815282,527o:844815282,527o:844815282,,,,,,,,,
fd2020,2020,2020,comm69042416,,michelle l smith for senate,,,,,,,328,MD,federal:527,,,,,-1.806,-1.806,,,,,,,,,4,11,,,,,,,,,,,,,,,,,,comm,,,527o:8434471232004,527o:843447123,527o:843447123,527o:843447123,,,,,,,,,
fd2020,2020,2020,comm69042111,,d.c. legal,,,,,,,328,,federal:527,,,,,-1.016,-1.018,,,,,,,,,99,139,,,,,,,,,,,,,,,,,,comm,,,527o:5219142172006,527o:521914217,527o:521914217,527o:521914217,,,,,,,,,
fd2020,2020,2020,comm69042481,,citizens for nicolaus sleister,,,,,,,328,WA,federal:527,,,,,-1.66,-1.66,,,,,,,,,6,8,,,,,,,,,,,,,,,,,,comm,,,527o:8516190942008,527o:851619094,527o:851619094,527o:851619094,,,,,,,,,
fd2020,2020,2020,comm69042151,,young conservatives of america,,,,,,,328,VA,federal:527,,,,,1.343,1.343,,,,,,,,,13,18,,,,,,,,,,,,,,,,,,comm,,,527o:8218208362002,527o:821820836,527o:821820836,527o:821820836,,,,,,,,,
fd2020,2020,2020,comm69042078,,"greater johnstown regional pac, inc.",,,,,,,328,PA,federal:527,,,,,0.002,0.073,,,,,,,,,4,17,,,,,,,,,,,,,,,,,,comm,,,527o:2518829672022,527o:251882967,527o:251882967,527o:251882967,,,,,,,,,
fd2020,2020,2020,comm69042446,,nm-03 legal defense fund,,,,,,,328,OH,federal:527,,,,,1.548,1.548,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,comm,,,527o:8447849332016,527o:844784933,527o:844784933,527o:844784933,,,,,,,,,
fd2020,2020,2020,comm69042438,,people for beardsley,,,,,,,328,WI,federal:527,,,,,-1.379,-1.379,,,,,,,,,93,93,,,,,,,,,,,,,,,,,,comm,,,527o:8445486892008,527o:844548689,527o:844548689,527o:844548689,,,,,,,,,
fd2020,2020,2020,comm69042506,,truth and freedom pac,,,,,,,328,OR,federal:527,,,,,1.908,1.908,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,comm,,,527o:8533445432002,527o:853344543,527o:853344543,527o:853344543,,,,,,,,,
fd2020,2020,2020,comm69042502,,norman voter protection project,,,,,,,328,OK,federal:527,,,,,-1.352,-1.352,,,,,,,,,88,88,,,,,,,,,,,,,,,,,,comm,,,527o:8530518302010,527o:853051830,527o:853051830,527o:853051830,,,,,,,,,
fd2020,2020,2020,comm69042083,,touchstone political action committee,,,,,,,328,TX,federal:527,,,,,1.069,1.075,,,,,,,,,20,30,,,,,,,,,,,,,,,,,,comm,,,527o:2711750932020,527o:271175093,527o:271175093,527o:271175093,,,,,,,,,
fd2020,2020,2020,comm69042455,,great lakes justice fund,,,,,,,328,MI,federal:527,,,,,0.454,0.454,,,,,,,,,8,10,,,,,,,,,,,,,,,,,,comm,,,527o:8449976172010,527o:844997617,527o:844997617,527o:844997617,,,,,,,,,
fd2020,2020,2020,comm69042369,,democratic-republican party,,,,,,,328,,federal:527,,,,,1.621,1.621,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,comm,,,527o:8417694862008,527o:841769486,527o:841769486,527o:841769486,,,,,,,,,
fd2020,2020,2020,comm69042559,,"west virginians for life, inc.-pac",,,,,,,328,,federal:527,,,,,1.367,1.343,,,,,,,,,21,42,,,,,,,,,,,,,,,,,,comm,,,527o:9120808352006,527o:912080835,527o:912080835,527o:912080835,,,,,,,,,
fd2020,2020,2020,comm69042459,,meg for congress,,,,,,,328,TN,federal:527,,,,,-1.27,-1.27,,,,,,,,,68,111,,,,,,,,,,,,,,,,,,comm,,,527o:8451467412002,527o:845146741,527o:845146741,527o:845146741,,,,,,,,,
fd2020,2020,2020,comm69042482,,erik terwey for city council 2020,,,,,,,328,OK,federal:527,,,,,-1.551,-1.551,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,comm,,,527o:8516237982010,527o:851623798,527o:851623798,527o:851623798,,,,,,,,,
fd2020,2020,2020,comm69042504,,friends of nj39,,,,,,,328,NJ,federal:527,,,,,0.027,0.027,,,,,,,,,12,14,,,,,,,,,,,,,,,,,,comm,,,527o:8532063512006,527o:853206351,527o:853206351,527o:853206351,,,,,,,,,
fd2020,2020,2020,comm69042476,,friends of kimberly page,,,,,,,328,RI,federal:527,,,,,0.056,0.056,,,,,,,,,8,8,,,,,,,,,,,,,,,,,,comm,,,527o:8513900562002,527o:851390056,527o:851390056,527o:851390056,,,,,,,,,
fd2020,2020,2020,comm69042466,,north dakota petroleum council inc federal pac,,,,,,,328,ND,federal:527,,,,,1.417,1.355,,,,,,,,,25,54,,,,,,,,,,,,,,,,,,comm,,,527o:8509739622004,527o:850973962,527o:850973962,527o:850973962,,,,,,,,,
fd2020,2020,2020,comm69042434,,tn 01 exploratory committee,,,,,,,328,TN,federal:527,,,,,1.466,1.466,,,,,,,,,41,41,,,,,,,,,,,,,,,,,,comm,,,527o:8442647292008,527o:844264729,527o:844264729,527o:844264729,,,,,,,,,
fd2020,2020,2020,comm69042470,,elect republicans,,,,,,,328,MO,federal:527,,,,,1.472,1.466,,,,,,,,,72,120,,,,,,,,,,,,,,,,,,comm,,,527o:8511971392008,527o:851197139,527o:851197139,527o:851197139,,,,,,,,,
fd2020,2020,2020,comm69042488,,american veterans for the home front,,,,,,,328,MI,federal:527,,,,,2.094,2.063,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,comm,,,527o:8522540802006,527o:852254080,527o:852254080,527o:852254080,,,,,,,,,
fd2020,2020,2020,comm69042451,,silver spring progressive action,,,,,,,328,MD,federal:527,,,,,-1.363,-1.363,,,,,,,,,39,74,,,,,,,,,,,,,,,,,,comm,,,527o:8448817092008,527o:844881709,527o:844881709,527o:844881709,,,,,,,,,
fd2020,2020,2020,comm69042433,,gregory coll for congress,,,,,,,328,MD,federal:527,,,,,1.532,1.532,,,,,,,,,26,32,,,,,,,,,,,,,,,,,,comm,,,527o:8442542462008,527o:844254246,527o:844254246,527o:844254246,,,,,,,,,
fd2020,2020,2020,comm69042310,,united police fund,,,,,,,328,VA,federal:527,,,,,0.665,0.881,,,,,,,,,277,1141,,,,,,,,,,,,,,,,,,comm,,,527o:8316169142006,527o:831616914,527o:831616914,527o:831616914,,,,,,,,,
fd2020,2020,2020,comm69042484,,tsb victory,,,,,,,328,CA,federal:527,,,,,-1.332,-1.284,,,,,,,,,38,84,,,,,,,,,,,,,,,,,,comm,,,527o:8520591352010,527o:852059135,527o:852059135,527o:852059135,,,,,,,,,
fd2020,2020,2020,comm69042134,,stop gop governors pac,,,,,,,328,IL,federal:527,,,,,-1.407,-1.402,,,,,,,,,269,555,,,,,,,,,,,,,,,,,,comm,,,527o:8154068142008,527o:815406814,527o:815406814,527o:815406814,,,,,,,,,
fd2020,2020,2020,comm69042448,,lori trahan legal expense trust,,,,,,,328,DC,federal:527,,,,,-0.595,-0.595,,,,,,,,,69,69,,,,,,,,,,,,,,,,,,comm,,,527o:8447969632010,527o:844796963,527o:844796963,527o:844796963,,,,,,,,,
fd2020,2020,2020,comm69042458,,wv can't wait action committee,,,,,,,328,WV,federal:527,,,,,-1.387,-1.422,,,,,,,,,60,189,,,,,,,,,,,,,,,,,,comm,,,527o:8451272492008,527o:845127249,527o:845127249,527o:845127249,,,,,,,,,
fd2020,2020,2020,comm69042456,,friends of ed moeller,,,,,,,328,PA,federal:527,,,,,-1.101,-1.101,,,,,,,,,50,50,,,,,,,,,,,,,,,,,,comm,,,527o:8450041492002,527o:845004149,527o:845004149,527o:845004149,,,,,,,,,
fd2020,2020,2020,comm69042557,,indiana state building & construction trades council pac,,,,,,,328,IN,federal:527,,,,,-0.316,-0.316,,,,,,,,,2,11,,,,,,,,,,,,,,,,,,comm,,,527o:9009793802006,527o:900979380,527o:900979380,527o:900979380,,,,,,,,,
fd2020,2020,2020,comm69042093,,flip the senate,,,,,,,328,CA,federal:527,,,,,-1.38,-1.38,,,,,,,,,375,393,,,,,,,,,,,,,,,,,,comm,,,527o:3526550102008,527o:352655010,527o:352655010,527o:352655010,,,,,,,,,
fd2020,2020,2020,comm69042494,,the democratic senate action committee,,,,,,,328,,federal:527,,,,,-1.358,-1.357,,,,,,,,,61,63,,,,,,,,,,,,,,,,,,comm,,,527o:8527501042002,527o:852750104,527o:852750104,527o:852750104,,,,,,,,,
fd2020,2020,2020,comm69042485,,massgop legal defense fund,,,,,,,328,MA,federal:527,,,,,1.183,1.183,,,,,,,,,7,12,,,,,,,,,,,,,,,,,,comm,,,527o:8521145942006,527o:852114594,527o:852114594,527o:852114594,,,,,,,,,
fd2020,2020,2020,comm69042110,,"republican club of indian river, inc.",,,,,,,328,FL,federal:527,,,,,0.498,0.498,,,,,,,,,8,17,,,,,,,,,,,,,,,,,,comm,,,527o:4750448632006,527o:475044863,527o:475044863,527o:475044863,,,,,,,,,
fd2020,2020,2020,comm69042512,,delaine eastin for cdp chair,,,,,,,328,CA,federal:527,,,,,-1.056,-1.151,,,,,,,,,36,51,,,,,,,,,,,,,,,,,,comm,,,527o:8540068492002,527o:854006849,527o:854006849,527o:854006849,,,,,,,,,
fd2020,2020,2020,comm69042100,,indiana state building and construction trades council legislative fun,,,,,,,328,IN,federal:527,,,,,-0.221,-0.239,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,comm,,,527o:4607302182006,527o:460730218,527o:460730218,527o:460730218,,,,,,,,,
fd2020,2020,2020,comm69042511,,tommy hicks for co-chairman,,,,,,,328,DC,federal:527,,,,,1.421,1.397,,,,,,,,,18,24,,,,,,,,,,,,,,,,,,comm,,,527o:8539806692004,527o:853980669,527o:853980669,527o:853980669,,,,,,,,,
fd2020,2020,2020,comm69042347,,change maryland action fund,,,,,,,328,MD,federal:527,,,,,0.632,0.666,,,,,,,,,935,1042,,,,,,,,,,,,,,,,,,comm,,,527o:8336107402008,527o:833610740,527o:833610740,527o:833610740,,,,,,,,,
fd2016,2016,2020,cand539,2914969284,"roberts, c patrick",roberts,c patrick,c patrick,,,,200,KS,federal:senate,KSS20,2016_KS_S,I,M,1.073,0.888,1.133,0.914,0.413,-0.09,0.434,0.253,0.858,2.461108062,364,8438,474417,467434,99016,1686,352500,0,46294.16,0,0,,,,,,,0.389,,cand,,S,148522016,14852,S6KS00080,C00128876,N00005285,,,200,,,,,
fd2020,2020,2020,comm69042490,,the commonwealth fund,,,,,,,328,VA,federal:527,,,,,0.546,0.546,,,,,,,,,14,14,,,,,,,,,,,,,,,,,,comm,,,527o:8524655162006,527o:852465516,527o:852465516,527o:852465516,,,,,,,,,
fd2020,2020,2020,comm69042367,,rental housing alliance,,,,,,,328,NC,federal:527,,,,,-0.651,-1.947,,,,,,,,,3,39,,,,,,,,,,,,,,,,,,comm,,,527o:8417534002004,527o:841753400,527o:841753400,527o:841753400,,,,,,,,,
fd2016,2016,2020,cand607,29325970127,"durbin, richard j",durbin,richard j,richard,j,,,100,IL,federal:senate,ILS20,2016_IL_S,I,M,-0.769,-0.885,-0.743,-1.052,-0.347,-0.304,-0.416,-0.306,-0.508,-2.61567496,4602,51602,1151486,1073760,444251,362493,250390,5600,0,0,0,,,,,,,0.59,F,cand,,S,150212016,15021,S6IL00151,C00148999,N00004981,,,100,,,,,
fd2020,2020,2020,comm69042081,,free speech pac,,,,,,,328,FL,federal:527,,,,,1.05,,,,,,,,,,1,7,,,,,,,,,,,,,,,,,,comm,,,527o:2632451682010,527o:263245168,527o:263245168,527o:263245168,,,,,,,,,
fd2020,2020,2020,comm69042441,,legal defense fund of jason o'donnell,,,,,,,328,NJ,federal:527,,,,,-1.347,-1.39,,,,,,,,,7,15,,,,,,,,,,,,,,,,,,comm,,,527o:8446074372006,527o:844607437,527o:844607437,527o:844607437,,,,,,,,,
fd2020,2020,2020,comm69042440,,american dignity pac,,,,,,,328,MD,federal:527,,,,,-1.436,-1.436,,,,,,,,,19,19,,,,,,,,,,,,,,,,,,comm,,,527o:8445502322004,527o:844550232,527o:844550232,527o:844550232,,,,,,,,,
fd2020,2020,2020,comm69042420,,vote to survive,,,,,,,328,MA,federal:527,,,,,-1.347,-1.347,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,comm,,,527o:8435744622008,527o:843574462,527o:843574462,527o:843574462,,,,,,,,,
fd2020,2020,2020,comm69042509,,mcdaniel for chair,,,,,,,328,MI,federal:527,,,,,1.212,1.212,,,,,,,,,14,19,,,,,,,,,,,,,,,,,,comm,,,527o:8539656592004,527o:853965659,527o:853965659,527o:853965659,,,,,,,,,
fd2020,2020,2020,comm69042469,,citizens for wenstrup,,,,,,,328,LA,federal:527,,,,,-1.135,-1.135,,,,,,,,,229,229,,,,,,,,,,,,,,,,,,comm,,,527o:8511658652004,527o:851165865,527o:851165865,527o:851165865,,,,,,,,,
fd2020,2020,2020,comm69042442,,kentucky night at the southern legislative conference inc,,,,,,,328,KY,federal:527,,,,,0.556,0.621,,,,,,,,,1,199,,,,,,,,,,,,,,,,,,comm,,,527o:8446183032010,527o:844618303,527o:844618303,527o:844618303,,,,,,,,,
fd2020,2020,2020,comm69042125,,justice democrats non-federal,,,,,,,328,CA,federal:527,,,,,-1.216,-1.287,,,,,,,,,1,27,,,,,,,,,,,,,,,,,,comm,,,527o:8149091002004,527o:814909100,527o:814909100,527o:814909100,,,,,,,,,
fd2020,2020,2020,comm69042149,,"keep ag growing, inc.",,,,,,,328,NC,federal:527,,,,,0.976,0.976,,,,,,,,,16,16,,,,,,,,,,,,,,,,,,comm,,,527o:8216981632004,527o:821698163,527o:821698163,527o:821698163,,,,,,,,,
fd2016,2016,2020,cand737,3750299357,"inhofe, james m",inhofe,james m,james,m,,,200,OK,federal:senate,OKS20,2016_OK_S,I,M,1.119,1.119,1.383,1.177,0.552,0.045,0.521,0.253,1.064,3.03355868,258,13309,498655,450409,193957,4355,295154,0,0,0,0,,,,,,,0.307,F,cand,,S,154242016,15424,S4OK00083,C00207993,N00005582,,,200,,,,,
fd2020,2020,2020,comm69042556,,nevada mining association political action committ,,,,,,,328,NV,federal:527,,,,,1.344,1.424,,,,,,,,,14,56,,,,,,,,,,,,,,,,,,comm,,,527o:8801830632002,527o:880183063,527o:880183063,527o:880183063,,,,,,,,,
fd2020,2020,2020,comm69042406,,democratic treasurers association,,,,,,,328,DC,federal:527,,,,,-0.93,-0.93,,,,,,,,,18,48,,,,,,,,,,,,,,,,,,comm,,,527o:8431719812006,527o:843171981,527o:843171981,527o:843171981,,,,,,,,,
fd2020,2020,2020,comm69042094,,it's time inc.,,,,,,,328,PA,federal:527,,,,,0.885,0.885,,,,,,,,,15,17,,,,,,,,,,,,,,,,,,comm,,,527o:3526806282004,527o:352680628,527o:352680628,527o:352680628,,,,,,,,,
fd2020,2020,2020,comm69042492,,act 4 greater america corp,,,,,,,328,VA,federal:527,,,,,1.61,1.61,,,,,,,,,15,18,,,,,,,,,,,,,,,,,,comm,,,527o:8526419032002,527o:852641903,527o:852641903,527o:852641903,,,,,,,,,
fd2020,2020,2020,comm69042465,,oakland strong,,,,,,,328,MI,federal:527,,,,,-0.262,-0.262,,,,,,,,,17,18,,,,,,,,,,,,,,,,,,comm,,,527o:8509338162010,527o:850933816,527o:850933816,527o:850933816,,,,,,,,,
fd2020,2020,2020,comm69042221,,nc citizens for a better tomorrow,,,,,,,328,NC,federal:527,,,,,1.368,1.385,,,,,,,,,3,8,,,,,,,,,,,,,,,,,,comm,,,527o:8240710832002,527o:824071083,527o:824071083,527o:824071083,,,,,,,,,
fd2020,2020,2020,comm69042474,,"alliance for a better indiana, llc",,,,,,,328,IN,federal:527,,,,,-0.614,-0.614,,,,,,,,,18,23,,,,,,,,,,,,,,,,,,comm,,,527o:8513355002004,527o:851335500,527o:851335500,527o:851335500,,,,,,,,,
fd2020,2020,2020,comm69042487,,south carolina's conservative future,,,,,,,328,SC,federal:527,,,,,1.417,1.374,,,,,,,,,33,64,,,,,,,,,,,,,,,,,,comm,,,527o:8522313932004,527o:852231393,527o:852231393,527o:852231393,,,,,,,,,
fd2020,2020,2020,comm69042497,,1000 women strong,,,,,,,328,FL,federal:527,,,,,-1.192,-1.192,,,,,,,,,68,194,,,,,,,,,,,,,,,,,,comm,,,527o:8527948652010,527o:852794865,527o:852794865,527o:852794865,,,,,,,,,
fd2020,2020,2020,comm69042473,,nys citizens for racial justice llc,,,,,,,328,NY,federal:527,,,,,-1.299,-1.299,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,comm,,,527o:8513185702004,527o:851318570,527o:851318570,527o:851318570,,,,,,,,,
fd2020,2020,2020,comm69042213,,ohioans for parental choice,,,,,,,328,OH,federal:527,,,,,1.26,1.227,,,,,,,,,4,16,,,,,,,,,,,,,,,,,,comm,,,527o:8236750502010,527o:823675050,527o:823675050,527o:823675050,,,,,,,,,
fd2020,2020,2020,comm69042084,,"american federation for children action fund, inc.",,,,,,,328,DC,federal:527,,,,,1.106,1.1,,,,,,,,,5,11,,,,,,,,,,,,,,,,,,comm,,,527o:2716873202004,527o:271687320,527o:271687320,527o:271687320,,,,,,,,,
fd2020,2020,2020,comm69042405,,committee for police officers defense,,,,,,,328,VA,federal:527,,,,,0.85,0.961,,,,,,,,,133,1618,,,,,,,,,,,,,,,,,,comm,,,527o:8431532712004,527o:843153271,527o:843153271,527o:843153271,,,,,,,,,
fd2020,2020,2020,comm69042463,,together fund,,,,,,,328,DC,federal:527,,,,,-0.936,-0.936,,,,,,,,,15,18,,,,,,,,,,,,,,,,,,comm,,,527o:8505716502010,527o:850571650,527o:850571650,527o:850571650,,,,,,,,,
fd2020,2020,2020,comm69042431,,"good government coalition, inc.",,,,,,,328,MD,federal:527,,,,,1.209,1.232,,,,,,,,,7,20,,,,,,,,,,,,,,,,,,comm,,,527o:8441970202010,527o:844197020,527o:844197020,527o:844197020,,,,,,,,,
fd2020,2020,2020,comm69042181,,elect gabe ferrer,,,,,,,328,FL,federal:527,,,,,2.287,2.361,,,,,,,,,1,6,,,,,,,,,,,,,,,,,,comm,,,527o:8228826312002,527o:822882631,527o:822882631,527o:822882631,,,,,,,,,
fd2020,2020,2020,comm69042092,,"network health pac, llc",,,,,,,328,WI,federal:527,,,,,1.117,1.097,,,,,,,,,37,38,,,,,,,,,,,,,,,,,,comm,,,527o:3526283312002,527o:352628331,527o:352628331,527o:352628331,,,,,,,,,
fd2020,2020,2020,comm69042413,,friends of zac bauer,,,,,,,328,MI,federal:527,,,,,-1.293,-1.293,,,,,,,,,55,55,,,,,,,,,,,,,,,,,,comm,,,527o:8433926732006,527o:843392673,527o:843392673,527o:843392673,,,,,,,,,
fd2020,2020,2020,comm69042332,,committee to elect michael j. steele for senate 2022,,,,,,,328,ND,federal:527,,,,,-1.305,-1.305,,,,,,,,,5,6,,,,,,,,,,,,,,,,,,comm,,,527o:8330446982006,527o:833044698,527o:833044698,527o:833044698,,,,,,,,,
fd2020,2020,2020,comm69042344,,victor garcia da rosa for congress,,,,,,,328,FL,federal:527,,,,,1.45,1.45,,,,,,,,,23,23,,,,,,,,,,,,,,,,,,comm,,,527o:8334831312010,527o:833483131,527o:833483131,527o:833483131,,,,,,,,,
fd2020,2020,2020,comm69042122,,american solidarity party of ohio llc,,,,,,,328,OH,federal:527,,,,,-0.203,-0.203,,,,,,,,,19,21,,,,,,,,,,,,,,,,,,comm,,,527o:8143061532006,527o:814306153,527o:814306153,527o:814306153,,,,,,,,,
fd2020,2020,2020,comm69042160,,junius rodriguez for congress,,,,,,,328,IL,federal:527,,,,,-1.262,-1.429,,,,,,,,,1,66,,,,,,,,,,,,,,,,,,comm,,,527o:8221907242006,527o:822190724,527o:822190724,527o:822190724,,,,,,,,,
fd2020,2020,2020,comm69042196,,real democracy fund,,,,,,,328,DC,federal:527,,,,,-1.024,-0.951,,,,,,,,,7,9,,,,,,,,,,,,,,,,,,comm,,,527o:8232885322010,527o:823288532,527o:823288532,527o:823288532,,,,,,,,,
