senator,party,state,bt_alpha,bt_lambda,lamp_score_unit_interval
Rob Portman,R,OH,2.088918554153504,0.7366464938553091,0.8065649435693142
Michael Crapo,R,ID,2.088918554153504,0.7366464938553091,0.8065649435693142
Rick Scott,R,FL,1.9866620607670793,0.6864558740006286,0.7991590189394079
Charles E Grassley,R,IA,1.9866620607670793,0.6864558740006286,0.7991590189394079
William M Cassidy,R,LA,1.9866620607670793,0.6864558740006286,0.7991590189394079
Pat Roberts,R,KS,1.9866620607670793,0.6864558740006286,0.7991590189394079
Marco Rubio,R,FL,1.9376876841706432,0.6614953468032064,0.7954759446183084
John Cornyn,R,TX,1.8437737954004318,0.6118144470026067,0.7881452322155832
John Hardy Isakson,R,GA,1.7987333682931663,0.5870827329185512,0.784495920630964
Dan Sullivan,R,AK,1.7987333682931663,0.5870827329185512,0.784495920630964
Ronald Harold Johnson,R,WI,1.7987333682931663,0.5870827329185512,0.784495920630964
Cory Gardner,R,CO,1.7549075219681685,0.562416161494218,0.7808562212334325
Richard C Shelby,R,AL,1.7549075219681682,0.5624161614942179,0.7808562212334325
Amy Klobuchar,D,MN,1.7549075219681682,0.5624161614942179,0.7808562212334325
Patty Murray,D,WA,1.7122518380735687,0.5378093685796458,0.7772253425107415
Benjamin E Sasse,R,NE,1.7122518380735685,0.5378093685796457,0.7772253425107414
Jerry Moran,R,KS,1.670724053754392,0.5132570975888546,0.7736025088223489
Martha Mcsally,R,AZ,1.670724053754392,0.5132570975888546,0.7736025088223489
John Hoeven,R,ND,1.5525151658785465,0.4398763034596171,0.7627747359799874
Lindsey O Graham,R,SC,1.5151151483099636,0.4154914415581865,0.7591766044989348
Mike Braun,R,IN,1.5151151483099636,0.4154914415581865,0.7591766044989348
Timothy E Scott,R,SC,1.5151151483099636,0.4154914415581865,0.7591766044989348
Patrick Joseph Toomey,R,PA,1.4786598526965278,0.39113617262399725,0.755582839636298
Mike Rounds,R,SD,1.4084579072349357,0.3424954230705032,0.7484056075921767
Mitt Willard Romney,R,UT,1.4084579072349357,0.3424954230705032,0.7484056075921767
Tom Udall,D,NM,1.4084579072349357,0.3424954230705032,0.7484056075921767
Lamar Alexander,R,TN,1.4084579072349357,0.3424954230705032,0.7484056075921767
Brian Schatz,D,HI,1.3746519759829756,0.31820059070518586,0.7448207605049182
Thom R Tillis,R,NC,1.309491641525802,0.2696390019943627,0.7376552091141969
Joni K Ernst,R,IA,1.2780853876733633,0.24536316723935328,0.7340731652373889
Jeanne Shaheen,D,NH,1.2780853876733633,0.24536316723935328,0.7340731652373889
Cindy Hyde Smith,R,MS,1.2780853876733633,0.24536316723935328,0.7340731652373889
Shelley Moore Capito,R,WV,1.2474290131213674,0.22108464371495687,0.7304907246166576
Joe Manchin III,D,WV,1.1882738492725362,0.17250170723211725,0.7233220232351406
Kelly Loeffler,R,GA,1.1597314072207763,0.1481884328081447,0.7197344549123842
Lisa Murkowski,R,AK,1.1318514427423638,0.12385473684247982,0.7161438732696279
John Neely Kennedy,R,LA,1.0519936736851805,0.05068710069019346,0.705347553155209
Debra S Fischer,R,NE,0.9304573808686175,-0.07207900634684017,0.6872326835151102
Tina Flint Smith,D,MN,0.9304573808686175,-0.07207900634684017,0.6872326835151102
Maria Cantwell,D,WA,0.8013614091219966,-0.22144323626698093,0.6651931025656153
Todd Christopher Young,R,IN,0.7814383790078575,-0.24661898186746006,0.6614782714884402
Kamala D Harris,D,CA,0.7241722830382212,-0.322725954906867,0.6502482347251545
Mazie Hirono,D,HI,0.7241722830382212,-0.322725954906867,0.6502482347251545
Robert P Jr Casey,D,PA,0.7241722830382212,-0.322725954906867,0.6502482347251545
Kyrsten Sinema,D,AZ,0.670447780196518,-0.399809461177743,0.6388741046724891
Thomas R Carper,D,DE,0.6364739453293972,-0.4518117961046789,0.6312008507026615
Susan M Collins,R,ME,0.6200137314542425,-0.47801365368140936,0.6273346106972851
Dianne Feinstein,D,CA,0.5881061198533495,-0.530847871426263,0.6195386074673717
Michael F Bennet,D,CO,0.5881061198533495,-0.530847871426263,0.6195386074673717
Sherrod Brown,D,OH,0.5726432703140255,-0.5574923210383819,0.6156070603734323
Richard Blumenthal,D,CT,0.5138958912616257,-0.665734580225828,0.5996352709108987
Debbie Stabenow,D,MI,0.45979614834489985,-0.776972043493492,0.5832215212627068
Mark Robert Warner,D,VA,0.44695132701755574,-0.8053055784012103,0.5790407395821272
Christopher A Coons,D,DE,0.3981255885486478,-0.9209877743556457,0.5619711431766405
Angus Stanley Jr King,D,ME,0.3640449796814832,-1.010477848426083,0.5487663502171332
Chris Van Hollen,D,MD,0.3640449796814832,-1.010477848426083,0.5487663502171332
Catherine Cortez Masto,D,NV,0.3319993105369121,-1.1026223867638527,0.5351698752590061
Tammy Baldwin,D,WI,0.30187275772927347,-1.1977496824148168,0.5211332767097622
Timothy Michael Kaine,D,VA,0.29223836309267304,-1.2301854977540456,0.5163471791399892
Cory A Booker,D,NJ,0.29223836309267304,-1.2301854977540456,0.5163471791399892
L Tammy Duckworth,D,IL,0.292238363092673,-1.2301854977540458,0.5163471791399892
Richard J Durbin,D,IL,0.2645061647840169,-1.329890720643421,0.5016350801847524
Bernard Sanders,D,VT,0.23013225125267414,-1.4691011298648198,0.4810937559019054
Charles E Schumer,D,NY,0.21400184531399286,-1.5417706410348797,0.4703709370928164
Patrick J Leahy,D,VT,0.19854335522453873,-1.616747788474393,0.4593076128200713
Ronald L Wyden,D,OR,0.19105889251068633,-1.6551735607095384,0.45363766146574674
Robert Menendez,D,NJ,0.19105889251068633,-1.6551735607095384,0.45363766146574674
Martin Trevor Heinrich,D,NM,0.15597631284744734,-1.8580511239830608,0.4237018697370728
Christopher S Murphy,D,CT,0.142987742012126,-1.9449963725913388,0.410872580918052
Benjamin L Cardin,D,MD,0.142987742012126,-1.9449963725913388,0.410872580918052
Elizabeth Warren,D,MA,0.11296358189091918,-2.180689796365652,0.37609461369447406
Sheldon II Whitehouse,D,RI,0.10736109098800951,-2.2315574438505474,0.3685887896089273
Jeffrey Alan Merkley,D,OR,0.081252858717081,-2.510189274181012,0.327475004983535
Kirsten Elizabeth Gillibrand,D,NY,0.0625490573615825,-2.771804112341326,0.28887217881621186
Edward John Markey,D,MA,0.008830735707402096,-4.729516948765524,0.0
