senator_1,senator_2,wins_senator_1,wins_senator_2,n_repeats
Patrick J Leahy,Kevin Cramer,0.0,2.0,2
Patrick J Leahy,Martha Mcsally,0.0,2.0,2
Patrick J Leahy,Jacky Rosen,0.0,2.0,2
Patrick J Leahy,John F Reed,0.0,2.0,2
Patrick J Leahy,Bernard Sanders,2.0,0.0,2
Patrick J Leahy,Michael Crapo,0.0,2.0,2
Patrick J Leahy,Robert Menendez,2.0,0.0,2
Patrick J Leahy,Rob Portman,0.0,2.0,2
Patrick J Leahy,Sherrod Brown,0.0,2.0,2
Patrick J Leahy,Roger F Wicker,0.0,2.0,2
Patrick J Leahy,Richard M Burr,0.0,2.0,2
Patrick J Leahy,Lindsey O Graham,0.0,2.0,2
Patrick J Leahy,Jerry Moran,0.0,2.0,2
Patrick J Leahy,Debbie Stabenow,1.0,1.0,2
Patrick J Leahy,Roy Blunt,0.0,2.0,2
Patrick J Leahy,John Thune,0.0,2.0,2
Patrick J Leahy,John Hardy Isakson,0.0,2.0,2
Patrick J Leahy,Tom Udall,0.0,2.0,2
Patrick J Leahy,Patrick Joseph Toomey,2.0,0.0,2
Patrick J Leahy,Tammy Baldwin,2.0,0.0,2
Patrick J Leahy,Maria Cantwell,0.0,2.0,2
Patrick J Leahy,Lisa Murkowski,0.0,2.0,2
Patrick J Leahy,Lamar Alexander,0.0,2.0,2
Patrick J Leahy,John Cornyn,0.0,2.0,2
Patrick J Leahy,Amy Klobuchar,0.0,2.0,2
Patrick J Leahy,Jon Tester,1.0,1.0,2
Patrick J Leahy,Robert P Jr Casey,2.0,0.0,2
Patrick J Leahy,Sheldon II Whitehouse,2.0,0.0,2
Patrick J Leahy,John A Barrasso,0.0,2.0,2
Patrick J Leahy,James E Risch,0.0,2.0,2
Patrick J Leahy,Jeanne Shaheen,0.0,2.0,2
Patrick J Leahy,Jeffrey Alan Merkley,2.0,0.0,2
Patrick J Leahy,Mark Robert Warner,2.0,0.0,2
Patrick J Leahy,Michael F Bennet,0.0,2.0,2
Patrick J Leahy,Joe Manchin III,0.0,2.0,2
Patrick J Leahy,Christopher A Coons,0.0,2.0,2
Patrick J Leahy,Richard Blumenthal,0.0,2.0,2
Patrick J Leahy,Marco Rubio,0.0,2.0,2
Patrick J Leahy,Rand Paul,0.0,2.0,2
Patrick J Leahy,John Hoeven,0.0,2.0,2
Patrick J Leahy,Mike Lee,0.0,2.0,2
Patrick J Leahy,Ronald Harold Johnson,0.0,2.0,2
Patrick J Leahy,Brian Schatz,0.0,2.0,2
Patrick J Leahy,Angus Stanley Jr King,0.0,2.0,2
Patrick J Leahy,Elizabeth Warren,2.0,0.0,2
Patrick J Leahy,Debra S Fischer,0.0,2.0,2
Patrick J Leahy,Rafael Edward Ted Cruz,0.0,2.0,2
Patrick J Leahy,Timothy Michael Kaine,0.0,2.0,2
Patrick J Leahy,Cory A Booker,2.0,0.0,2
Patrick J Leahy,Dan Sullivan,0.0,2.0,2
Patrick J Leahy,David Perdue,0.0,2.0,2
Patrick J Leahy,Joni K Ernst,0.0,2.0,2
Patrick J Leahy,Benjamin E Sasse,0.0,2.0,2
Patrick J Leahy,Thom R Tillis,0.0,2.0,2
Patrick J Leahy,Mike Rounds,0.0,2.0,2
Patrick J Leahy,Catherine Cortez Masto,1.0,1.0,2
Patrick J Leahy,Kamala D Harris,1.0,1.0,2
Patrick J Leahy,John Neely Kennedy,0.0,2.0,2
Patrick J Leahy,Doug Jones,0.0,2.0,2
Patrick J Leahy,Tina Flint Smith,0.0,2.0,2
Patrick J Leahy,Cindy Hyde Smith,0.0,2.0,2
Patrick J Leahy,Mike Braun,0.0,2.0,2
Patrick J Leahy,Joshua David Hawley,0.0,2.0,2
Patrick J Leahy,Mitt Willard Romney,0.0,2.0,2
Patrick J Leahy,Rick Scott,0.0,2.0,2
Patrick J Leahy,Kelly Loeffler,0.0,2.0,2
Patrick J Leahy,Mark Kelly,1.0,1.0,2
Patrick J Leahy,Dianne Feinstein,0.0,2.0,2
Patrick J Leahy,Patty Murray,0.0,2.0,2
Patrick J Leahy,Susan M Collins,0.0,2.0,2
Patrick J Leahy,Michael B Enzi,0.0,2.0,2
Patrick J Leahy,Richard C Shelby,2.0,0.0,2
Edward John Markey,Pat Roberts,0.0,2.0,2
Edward John Markey,Charles E Schumer,0.0,2.0,2
Edward John Markey,Ronald L Wyden,0.0,2.0,2
Edward John Markey,Mitch Mcconnell,0.0,2.0,2
Edward John Markey,Thomas R Carper,0.0,2.0,2
Edward John Markey,Richard J Durbin,0.0,2.0,2
Edward John Markey,Benjamin L Cardin,0.0,2.0,2
Edward John Markey,James M Sen Inhofe,0.0,2.0,2
Edward John Markey,John Boozman,0.0,2.0,2
Edward John Markey,Shelley Moore Capito,0.0,2.0,2
Edward John Markey,Chris Van Hollen,0.0,2.0,2
Edward John Markey,Marsha Blackburn,0.0,2.0,2
Edward John Markey,Christopher S Murphy,0.0,2.0,2
Edward John Markey,Mazie Hirono,0.0,2.0,2
Edward John Markey,Kirsten Elizabeth Gillibrand,0.0,2.0,2
Edward John Markey,William M Cassidy,0.0,2.0,2
Edward John Markey,Gary Peters,0.0,2.0,2
Edward John Markey,Martin Trevor Heinrich,0.0,2.0,2
Edward John Markey,Cory Gardner,0.0,2.0,2
Edward John Markey,Todd Christopher Young,0.0,2.0,2
Edward John Markey,James Paul Lankford,0.0,2.0,2
Edward John Markey,Timothy E Scott,0.0,2.0,2
Edward John Markey,Kyrsten Sinema,0.0,2.0,2
Edward John Markey,Thomas Cotton,0.0,2.0,2
Edward John Markey,L Tammy Duckworth,0.0,2.0,2
Edward John Markey,Steven Daines,0.0,2.0,2
Edward John Markey,Kevin Cramer,0.0,2.0,2
Edward John Markey,Martha Mcsally,0.0,2.0,2
Edward John Markey,Jacky Rosen,0.0,2.0,2
Edward John Markey,John F Reed,0.0,2.0,2
Edward John Markey,Bernard Sanders,0.0,2.0,2
Edward John Markey,Michael Crapo,0.0,2.0,2
Edward John Markey,Robert Menendez,0.0,2.0,2
Edward John Markey,Rob Portman,0.0,2.0,2
Edward John Markey,Sherrod Brown,0.0,2.0,2
Edward John Markey,Roger F Wicker,0.0,2.0,2
Edward John Markey,Richard M Burr,0.0,2.0,2
Edward John Markey,Lindsey O Graham,0.0,2.0,2
Edward John Markey,Jerry Moran,0.0,2.0,2
Edward John Markey,Debbie Stabenow,0.0,2.0,2
Edward John Markey,Roy Blunt,0.0,2.0,2
Edward John Markey,John Thune,0.0,2.0,2
Edward John Markey,John Hardy Isakson,0.0,2.0,2
Edward John Markey,Tom Udall,0.0,2.0,2
Edward John Markey,Patrick Joseph Toomey,0.0,2.0,2
Edward John Markey,Tammy Baldwin,0.0,2.0,2
Edward John Markey,Maria Cantwell,0.0,2.0,2
Edward John Markey,Lisa Murkowski,0.0,2.0,2
Edward John Markey,Lamar Alexander,0.0,2.0,2
Edward John Markey,John Cornyn,0.0,2.0,2
Edward John Markey,Amy Klobuchar,0.0,2.0,2
Edward John Markey,Jon Tester,0.0,2.0,2
Edward John Markey,Robert P Jr Casey,0.0,2.0,2
Edward John Markey,Sheldon II Whitehouse,0.0,2.0,2
Edward John Markey,John A Barrasso,0.0,2.0,2
Edward John Markey,James E Risch,0.0,2.0,2
Edward John Markey,Jeanne Shaheen,0.0,2.0,2
Edward John Markey,Jeffrey Alan Merkley,0.0,2.0,2
Edward John Markey,Mark Robert Warner,0.0,2.0,2
Edward John Markey,Michael F Bennet,0.0,2.0,2
Edward John Markey,Joe Manchin III,0.0,2.0,2
Edward John Markey,Christopher A Coons,0.0,2.0,2
Edward John Markey,Richard Blumenthal,0.0,2.0,2
Edward John Markey,Marco Rubio,0.0,2.0,2
Edward John Markey,Rand Paul,0.0,2.0,2
Edward John Markey,John Hoeven,0.0,2.0,2
Edward John Markey,Mike Lee,0.0,2.0,2
Edward John Markey,Ronald Harold Johnson,0.0,2.0,2
Edward John Markey,Brian Schatz,0.0,2.0,2
Edward John Markey,Angus Stanley Jr King,0.0,2.0,2
Edward John Markey,Elizabeth Warren,0.0,2.0,2
Edward John Markey,Debra S Fischer,0.0,2.0,2
Edward John Markey,Rafael Edward Ted Cruz,0.0,2.0,2
Edward John Markey,Timothy Michael Kaine,0.0,2.0,2
Edward John Markey,Cory A Booker,0.0,2.0,2
Edward John Markey,Dan Sullivan,0.0,2.0,2
Edward John Markey,David Perdue,0.0,2.0,2
Edward John Markey,Joni K Ernst,0.0,2.0,2
Edward John Markey,Benjamin E Sasse,0.0,2.0,2
Edward John Markey,Thom R Tillis,0.0,2.0,2
Edward John Markey,Mike Rounds,0.0,2.0,2
Edward John Markey,Catherine Cortez Masto,0.0,2.0,2
Edward John Markey,Kamala D Harris,1.0,1.0,2
Edward John Markey,John Neely Kennedy,0.0,2.0,2
Edward John Markey,Doug Jones,0.0,2.0,2
Edward John Markey,Tina Flint Smith,0.0,2.0,2
Edward John Markey,Cindy Hyde Smith,0.0,2.0,2
Edward John Markey,Mike Braun,0.0,2.0,2
Edward John Markey,Joshua David Hawley,2.0,0.0,2
Edward John Markey,Mitt Willard Romney,0.0,2.0,2
Edward John Markey,Rick Scott,0.0,2.0,2
Edward John Markey,Kelly Loeffler,0.0,2.0,2
Edward John Markey,Mark Kelly,0.0,2.0,2
Edward John Markey,Dianne Feinstein,0.0,2.0,2
Edward John Markey,Patty Murray,0.0,2.0,2
Edward John Markey,Susan M Collins,0.0,2.0,2
Edward John Markey,Michael B Enzi,0.0,2.0,2
Edward John Markey,Richard C Shelby,0.0,2.0,2
Pat Roberts,Charles E Schumer,2.0,0.0,2
Pat Roberts,Ronald L Wyden,2.0,0.0,2
Pat Roberts,Mitch Mcconnell,0.0,2.0,2
Pat Roberts,Thomas R Carper,2.0,0.0,2
Pat Roberts,Richard J Durbin,2.0,0.0,2
Pat Roberts,Benjamin L Cardin,2.0,0.0,2
Pat Roberts,James M Sen Inhofe,0.0,2.0,2
Pat Roberts,John Boozman,0.0,2.0,2
Pat Roberts,Shelley Moore Capito,2.0,0.0,2
Pat Roberts,Chris Van Hollen,2.0,0.0,2
Pat Roberts,Marsha Blackburn,0.0,2.0,2
Pat Roberts,Christopher S Murphy,2.0,0.0,2
Pat Roberts,Mazie Hirono,2.0,0.0,2
Pat Roberts,Kirsten Elizabeth Gillibrand,2.0,0.0,2
Pat Roberts,William M Cassidy,0.0,2.0,2
Pat Roberts,Gary Peters,1.0,1.0,2
Pat Roberts,Martin Trevor Heinrich,2.0,0.0,2
Pat Roberts,Cory Gardner,0.0,2.0,2
Pat Roberts,Todd Christopher Young,0.0,2.0,2
Pat Roberts,James Paul Lankford,0.0,2.0,2
Pat Roberts,Timothy E Scott,0.0,2.0,2
Pat Roberts,Kyrsten Sinema,2.0,0.0,2
Pat Roberts,Thomas Cotton,0.0,2.0,2
Pat Roberts,L Tammy Duckworth,2.0,0.0,2
Pat Roberts,Steven Daines,0.0,2.0,2
Pat Roberts,Kevin Cramer,0.0,2.0,2
Pat Roberts,Martha Mcsally,2.0,0.0,2
Pat Roberts,Jacky Rosen,1.0,1.0,2
Pat Roberts,John F Reed,1.0,1.0,2
Pat Roberts,Bernard Sanders,2.0,0.0,2
Pat Roberts,Michael Crapo,2.0,0.0,2
Pat Roberts,Robert Menendez,2.0,0.0,2
Pat Roberts,Rob Portman,1.0,1.0,2
Pat Roberts,Sherrod Brown,2.0,0.0,2
Pat Roberts,Roger F Wicker,2.0,0.0,2
Pat Roberts,Richard M Burr,2.0,0.0,2
Pat Roberts,Lindsey O Graham,2.0,0.0,2
Pat Roberts,Jerry Moran,1.0,1.0,2
Pat Roberts,Debbie Stabenow,2.0,0.0,2
Pat Roberts,Roy Blunt,2.0,0.0,2
Pat Roberts,John Thune,2.0,0.0,2
Pat Roberts,John Hardy Isakson,0.0,2.0,2
Pat Roberts,Tom Udall,0.0,2.0,2
Pat Roberts,Patrick Joseph Toomey,0.0,2.0,2
Pat Roberts,Tammy Baldwin,2.0,0.0,2
Pat Roberts,Maria Cantwell,2.0,0.0,2
Pat Roberts,Lisa Murkowski,2.0,0.0,2
Pat Roberts,Lamar Alexander,2.0,0.0,2
Pat Roberts,John Cornyn,1.0,1.0,2
Pat Roberts,Amy Klobuchar,2.0,0.0,2
Pat Roberts,Jon Tester,0.0,2.0,2
Pat Roberts,Robert P Jr Casey,2.0,0.0,2
Pat Roberts,Sheldon II Whitehouse,2.0,0.0,2
Pat Roberts,John A Barrasso,0.0,2.0,2
Pat Roberts,James E Risch,0.0,2.0,2
Pat Roberts,Jeanne Shaheen,2.0,0.0,2
Pat Roberts,Jeffrey Alan Merkley,2.0,0.0,2
Pat Roberts,Mark Robert Warner,2.0,0.0,2
Pat Roberts,Michael F Bennet,2.0,0.0,2
Pat Roberts,Joe Manchin III,2.0,0.0,2
Pat Roberts,Christopher A Coons,2.0,0.0,2
Pat Roberts,Richard Blumenthal,2.0,0.0,2
Pat Roberts,Marco Rubio,2.0,0.0,2
Pat Roberts,Rand Paul,2.0,0.0,2
Pat Roberts,John Hoeven,2.0,0.0,2
Pat Roberts,Mike Lee,2.0,0.0,2
Pat Roberts,Ronald Harold Johnson,0.0,2.0,2
Pat Roberts,Brian Schatz,2.0,0.0,2
Pat Roberts,Angus Stanley Jr King,2.0,0.0,2
Pat Roberts,Elizabeth Warren,2.0,0.0,2
Pat Roberts,Debra S Fischer,2.0,0.0,2
Pat Roberts,Rafael Edward Ted Cruz,0.0,2.0,2
Pat Roberts,Timothy Michael Kaine,2.0,0.0,2
Pat Roberts,Cory A Booker,2.0,0.0,2
Pat Roberts,Dan Sullivan,0.0,2.0,2
Pat Roberts,David Perdue,0.0,2.0,2
Pat Roberts,Joni K Ernst,2.0,0.0,2
Pat Roberts,Benjamin E Sasse,0.0,2.0,2
Pat Roberts,Thom R Tillis,1.0,1.0,2
Pat Roberts,Mike Rounds,1.0,1.0,2
Pat Roberts,Catherine Cortez Masto,2.0,0.0,2
Pat Roberts,Kamala D Harris,2.0,0.0,2
Pat Roberts,John Neely Kennedy,0.0,2.0,2
Pat Roberts,Doug Jones,0.0,2.0,2
Pat Roberts,Tina Flint Smith,2.0,0.0,2
Pat Roberts,Cindy Hyde Smith,0.0,2.0,2
Pat Roberts,Mike Braun,2.0,0.0,2
Pat Roberts,Joshua David Hawley,0.0,2.0,2
Pat Roberts,Mitt Willard Romney,1.0,1.0,2
Pat Roberts,Rick Scott,0.0,2.0,2
Pat Roberts,Kelly Loeffler,0.0,2.0,2
Pat Roberts,Mark Kelly,0.0,2.0,2
Pat Roberts,Dianne Feinstein,2.0,0.0,2
Pat Roberts,Patty Murray,2.0,0.0,2
Pat Roberts,Susan M Collins,2.0,0.0,2
Pat Roberts,Michael B Enzi,0.0,2.0,2
Pat Roberts,Richard C Shelby,0.0,2.0,2
Charles E Schumer,Ronald L Wyden,0.0,2.0,2
Charles E Schumer,Mitch Mcconnell,0.0,2.0,2
Charles E Schumer,Thomas R Carper,0.0,2.0,2
Charles E Schumer,Richard J Durbin,0.0,2.0,2
Charles E Schumer,Benjamin L Cardin,1.0,1.0,2
Charles E Schumer,James M Sen Inhofe,0.0,2.0,2
Charles E Schumer,John Boozman,0.0,2.0,2
Charles E Schumer,Shelley Moore Capito,0.0,2.0,2
Charles E Schumer,Chris Van Hollen,0.0,2.0,2
Charles E Schumer,Marsha Blackburn,0.0,2.0,2
Charles E Schumer,Christopher S Murphy,2.0,0.0,2
Charles E Schumer,Mazie Hirono,0.0,2.0,2
Charles E Schumer,Kirsten Elizabeth Gillibrand,2.0,0.0,2
Charles E Schumer,William M Cassidy,1.0,1.0,2
Charles E Schumer,Gary Peters,0.0,2.0,2
Charles E Schumer,Martin Trevor Heinrich,2.0,0.0,2
Charles E Schumer,Cory Gardner,0.0,2.0,2
Charles E Schumer,Todd Christopher Young,2.0,0.0,2
Charles E Schumer,James Paul Lankford,0.0,2.0,2
Charles E Schumer,Timothy E Scott,0.0,2.0,2
Charles E Schumer,Kyrsten Sinema,0.0,2.0,2
Charles E Schumer,Thomas Cotton,0.0,2.0,2
Charles E Schumer,L Tammy Duckworth,1.0,1.0,2
Charles E Schumer,Steven Daines,0.0,2.0,2
Charles E Schumer,Kevin Cramer,0.0,2.0,2
Charles E Schumer,Martha Mcsally,0.0,2.0,2
Charles E Schumer,Jacky Rosen,0.0,2.0,2
Charles E Schumer,John F Reed,0.0,2.0,2
Charles E Schumer,Bernard Sanders,2.0,0.0,2
Charles E Schumer,Michael Crapo,0.0,2.0,2
Charles E Schumer,Robert Menendez,0.0,2.0,2
Charles E Schumer,Rob Portman,0.0,2.0,2
Charles E Schumer,Sherrod Brown,0.0,2.0,2
Charles E Schumer,Roger F Wicker,0.0,2.0,2
Charles E Schumer,Richard M Burr,0.0,2.0,2
Charles E Schumer,Lindsey O Graham,0.0,2.0,2
Charles E Schumer,Jerry Moran,0.0,2.0,2
Charles E Schumer,Debbie Stabenow,0.0,2.0,2
Charles E Schumer,Roy Blunt,0.0,2.0,2
Charles E Schumer,John Thune,0.0,2.0,2
Charles E Schumer,John Hardy Isakson,0.0,2.0,2
Charles E Schumer,Tom Udall,0.0,2.0,2
Charles E Schumer,Patrick Joseph Toomey,2.0,0.0,2
Charles E Schumer,Tammy Baldwin,0.0,2.0,2
Charles E Schumer,Maria Cantwell,2.0,0.0,2
Charles E Schumer,Lisa Murkowski,0.0,2.0,2
Charles E Schumer,Lamar Alexander,0.0,2.0,2
Charles E Schumer,John Cornyn,0.0,2.0,2
Charles E Schumer,Amy Klobuchar,0.0,2.0,2
Charles E Schumer,Jon Tester,0.0,2.0,2
Charles E Schumer,Robert P Jr Casey,1.0,1.0,2
Charles E Schumer,Sheldon II Whitehouse,2.0,0.0,2
Charles E Schumer,John A Barrasso,0.0,2.0,2
Charles E Schumer,James E Risch,0.0,2.0,2
Charles E Schumer,Jeanne Shaheen,0.0,2.0,2
Charles E Schumer,Jeffrey Alan Merkley,0.0,2.0,2
Charles E Schumer,Mark Robert Warner,2.0,0.0,2
Charles E Schumer,Michael F Bennet,0.0,2.0,2
Charles E Schumer,Joe Manchin III,0.0,2.0,2
Charles E Schumer,Christopher A Coons,2.0,0.0,2
Charles E Schumer,Richard Blumenthal,2.0,0.0,2
Charles E Schumer,Marco Rubio,0.0,2.0,2
Charles E Schumer,Rand Paul,0.0,2.0,2
Charles E Schumer,John Hoeven,0.0,2.0,2
Charles E Schumer,Mike Lee,0.0,2.0,2
Charles E Schumer,Ronald Harold Johnson,2.0,0.0,2
Charles E Schumer,Brian Schatz,0.0,2.0,2
Charles E Schumer,Angus Stanley Jr King,2.0,0.0,2
Charles E Schumer,Elizabeth Warren,2.0,0.0,2
Charles E Schumer,Debra S Fischer,0.0,2.0,2
Charles E Schumer,Rafael Edward Ted Cruz,0.0,2.0,2
Charles E Schumer,Timothy Michael Kaine,2.0,0.0,2
Charles E Schumer,Cory A Booker,0.0,2.0,2
Charles E Schumer,Dan Sullivan,0.0,2.0,2
Charles E Schumer,David Perdue,0.0,2.0,2
Charles E Schumer,Joni K Ernst,0.0,2.0,2
Charles E Schumer,Benjamin E Sasse,0.0,2.0,2
Charles E Schumer,Thom R Tillis,0.0,2.0,2
Charles E Schumer,Mike Rounds,0.0,2.0,2
Charles E Schumer,Catherine Cortez Masto,2.0,0.0,2
Charles E Schumer,Kamala D Harris,0.0,2.0,2
Charles E Schumer,John Neely Kennedy,2.0,0.0,2
Charles E Schumer,Doug Jones,0.0,2.0,2
Charles E Schumer,Tina Flint Smith,0.0,2.0,2
Charles E Schumer,Cindy Hyde Smith,0.0,2.0,2
Charles E Schumer,Mike Braun,0.0,2.0,2
Charles E Schumer,Joshua David Hawley,0.0,2.0,2
Charles E Schumer,Mitt Willard Romney,0.0,2.0,2
Charles E Schumer,Rick Scott,0.0,2.0,2
Charles E Schumer,Kelly Loeffler,0.0,2.0,2
Charles E Schumer,Mark Kelly,0.0,2.0,2
Charles E Schumer,Dianne Feinstein,1.0,1.0,2
Charles E Schumer,Patty Murray,0.0,2.0,2
Charles E Schumer,Susan M Collins,0.0,2.0,2
Charles E Schumer,Michael B Enzi,0.0,2.0,2
Charles E Schumer,Richard C Shelby,0.0,2.0,2
Ronald L Wyden,Mitch Mcconnell,0.0,2.0,2
Ronald L Wyden,Thomas R Carper,0.0,2.0,2
Ronald L Wyden,Richard J Durbin,0.0,2.0,2
Ronald L Wyden,Benjamin L Cardin,0.0,2.0,2
Ronald L Wyden,James M Sen Inhofe,0.0,2.0,2
